,Symbol,Name,Unnamed: 2,Price,Change,Change %,Market Cap,Volume,Volume In Currency (24hr),Total Volume All Currencies (24hr),Circulating Supply,52 Wk Change %,52 Wk Range
0,BTC-USD,Bitcoin USD,,"95,233.60 -1,955.77 (-2.01%)",-1955.77,-2.01%,1.886T,43.142B,43.142B,43.142B,19.8M,126.02%,
1,ETH-USD,Ethereum USD,,"3,283.27 -49.50 (-1.49%)",-49.5,-1.49%,395.487B,24.693B,24.693B,24.693B,120.455M,47.29%,
2,USDT-USD,Tether USDt USD,,0.999091 -0.000340 (-0.03%),-0.00034,-0.03%,139.746B,113.485B,113.485B,113.485B,139.873B,-0.11%,
3,XRP-USD,XRP USD,,2.2008 -0.0318 (-1.42%),-0.0318,-1.42%,126.003B,11.252B,11.252B,11.252B,57.252B,264.80%,
4,BNB-USD,BNB USD,,649.30 -13.12 (-1.98%),-13.12,-1.98%,93.505B,1.088B,1.088B,1.088B,144.008M,150.56%,
5,SOL-USD,Solana USD,,180.06 -0.55 (-0.30%),-0.55,-0.30%,86.31B,3.978B,3.978B,3.978B,479.343M,61.18%,
6,DOGE-USD,Dogecoin USD,,0.312124 -0.006541 (-2.05%),-0.006541,-2.05%,45.98B,4.092B,4.092B,4.092B,147.312B,249.26%,
7,USDC-USD,USD Coin USD,,1.0001 +0.0002 (+0.02%),0.0002,+0.02%,43.004B,5.996B,5.996B,5.996B,43B,-0.03%,
8,STETH-USD,Lido Staked ETH USD,,"3,271.59 -50.22 (-1.51%)",-50.22,-1.51%,31.787B,154.521M,154.521M,154.521M,9.716M,47.21%,
9,ADA-USD,Cardano USD,,0.882735 -0.017110 (-1.90%),-0.01711,-1.90%,31.007B,1.105B,1.105B,1.105B,35.126B,52.32%,
10,WTRX-USD,Wrapped TRON USD,,0.243926 -0.000614 (-0.25%),-0.000614,-0.25%,21.325B,2.153M,2.153M,2.153M,87.423B,132.59%,
11,TRX-USD,TRON USD,,0.243991 -0.000431 (-0.18%),-0.000431,-0.18%,21.036B,1.089B,1.089B,1.089B,86.217B,130.07%,
12,AVAX-USD,Avalanche USD,,36.52 -0.73 (-1.96%),-0.73,-1.96%,14.968B,510.57M,510.57M,510.57M,409.832M,-21.61%,
13,WSTETH-USD,Lido wstETH USD,,"3,888.74 -63.10 (-1.60%)",-63.1,-1.60%,14.281B,20.64M,20.64M,20.64M,3.672M,51.75%,
14,LINK-USD,Chainlink USD,,22.04 +0.02 (+0.09%),0.02,+0.09%,14.066B,756.66M,756.66M,756.66M,638.1M,44.52%,
15,TON11419-USD,Toncoin USD,,5.3820 +0.0940 (+1.78%),0.094,+1.78%,13.734B,220.687M,220.687M,220.687M,2.552B,144.06%,
16,WBTC-USD,Wrapped Bitcoin USD,,"94,872.52 -1,990.75 (-2.06%)",-1990.75,-2.06%,12.714B,208.132M,208.132M,208.132M,134015,125.13%,
17,SHIB-USD,Shiba Inu USD,,0.000021 -0.000000 (-0.66%),-0.0,-0.66%,12.644B,623.866M,623.866M,623.866M,589.255T,100.00%,
18,SUI20947-USD,Sui USD,,4.3138 -0.0450 (-1.03%),-0.045,-1.03%,12.629B,2.185B,2.185B,2.185B,2.928B,508.53%,
19,WETH-USD,WETH USD,,"3,279.00 -51.58 (-1.55%)",-51.58,-1.55%,11.068B,942.19M,942.19M,942.19M,3.375M,46.91%,
20,XLM-USD,Stellar USD,,0.356152 +0.002082 (+0.59%),0.002082,+0.59%,10.766B,425.431M,425.431M,425.431M,30.228B,182.50%,
21,DOT-USD,Polkadot USD,,6.8321 -0.1051 (-1.51%),-0.1051,-1.51%,10.462B,379.373M,379.373M,379.373M,1.531B,-19.39%,
22,HBAR-USD,Hedera USD,,0.264857 +0.011920 (+4.71%),0.01192,+4.71%,10.131B,888.713M,888.713M,888.713M,38.252B,181.51%,
23,BCH-USD,Bitcoin Cash USD,,445.21 -10.21 (-2.24%),-10.21,-2.24%,8.818B,380.1M,380.1M,380.1M,19.805M,98.98%,
24,LEO-USD,UNUS SED LEO USD,,9.3068 -0.0182 (-0.20%),-0.0182,-0.20%,8.604B,852997,852997,852997,924.45M,137.79%,
